ID,Distance,Layer,Condition,Method
19,0.8932477146473861,dense2,WTs_CIFAR,SaSD
19,0.9699395143589898,dense3,WTs_CIFAR,SaSD
20,0.6617809073370945,conv1,WTs_CIFAR,SaSD
20,0.8550159613373178,conv2,WTs_CIFAR,SaSD
20,0.9698235617035311,dense1,WTs_CIFAR,SaSD
20,0.8927629907490428,dense2,WTs_CIFAR,SaSD
20,0.9838592928810319,dense3,WTs_CIFAR,SaSD
21,0.6695856091524145,conv1,WTs_CIFAR,SaSD
21,0.8583955248866886,conv2,WTs_CIFAR,SaSD
21,0.9699826334475516,dense1,WTs_CIFAR,SaSD
21,0.893331578124994,dense2,WTs_CIFAR,SaSD
21,0.9715647319949646,dense3,WTs_CIFAR,SaSD
22,0.6725732273858966,conv1,WTs_CIFAR,SaSD
22,0.860723260331911,conv2,WTs_CIFAR,SaSD
22,0.9696584523526918,dense1,WTs_CIFAR,SaSD
22,0.8929844521058523,dense2,WTs_CIFAR,SaSD
22,0.9392842146097168,dense3,WTs_CIFAR,SaSD
23,0.6644443816336958,conv1,WTs_CIFAR,SaSD
23,0.8629322795205581,conv2,WTs_CIFAR,SaSD
23,0.9700689752859425,dense1,WTs_CIFAR,SaSD
23,0.8908276826076382,dense2,WTs_CIFAR,SaSD
23,0.959806310665023,dense3,WTs_CIFAR,SaSD
24,0.6727025068477275,conv1,WTs_CIFAR,SaSD
24,0.861946070834369,conv2,WTs_CIFAR,SaSD
24,0.9699850885078865,dense1,WTs_CIFAR,SaSD
24,0.8910143920871091,dense2,WTs_CIFAR,SaSD
24,0.9693230189689672,dense3,WTs_CIFAR,SaSD
25,0.6810240527956521,conv1,WTs_CIFAR,SaSD
25,0.8636395597471804,conv2,WTs_CIFAR,SaSD
25,0.970134589963287,dense1,WTs_CIFAR,SaSD
25,0.8901634055184429,dense2,WTs_CIFAR,SaSD
25,0.9743321935316391,dense3,WTs_CIFAR,SaSD
26,0.6830744281384036,conv1,WTs_CIFAR,SaSD
26,0.8625680102079158,conv2,WTs_CIFAR,SaSD
26,0.9700330547735982,dense1,WTs_CIFAR,SaSD
26,0.8925570890868331,dense2,WTs_CIFAR,SaSD
26,0.9870956937799044,dense3,WTs_CIFAR,SaSD
27,0.6591515969732882,conv1,WTs_CIFAR,SaSD
27,0.8643819494286554,conv2,WTs_CIFAR,SaSD
27,0.9700731979249549,dense1,WTs_CIFAR,SaSD
27,0.8935828125009303,dense2,WTs_CIFAR,SaSD
27,0.9713985519370942,dense3,WTs_CIFAR,SaSD
28,0.6739874159584396,conv1,WTs_CIFAR,SaSD
28,0.8615891677912693,conv2,WTs_CIFAR,SaSD
28,0.9700150086491648,dense1,WTs_CIFAR,SaSD
28,0.8914725855371,dense2,WTs_CIFAR,SaSD
28,0.9607779918612038,dense3,WTs_CIFAR,SaSD
29,0.6549623828721158,conv1,WTs_CIFAR,SaSD
29,0.8580451143582623,conv2,WTs_CIFAR,SaSD
29,0.9700342369781929,dense1,WTs_CIFAR,SaSD
29,0.893395070638457,dense2,WTs_CIFAR,SaSD
29,0.97159419350785,dense3,WTs_CIFAR,SaSD
30,0.6513265597249973,conv1,WTs_CIFAR,SaSD
30,0.8607207074485885,conv2,WTs_CIFAR,SaSD
30,0.9699168140951704,dense1,WTs_CIFAR,SaSD
30,0.8939757969411121,dense2,WTs_CIFAR,SaSD
30,0.9757210690375582,dense3,WTs_CIFAR,SaSD
31,0.7184425212488535,conv1,mixed_CIFAR,SaSD
31,0.8699056615817593,conv2,mixed_CIFAR,SaSD
31,0.9709362255797986,dense1,mixed_CIFAR,SaSD
31,0.8963136270176817,dense2,mixed_CIFAR,SaSD
31,0.9853163569709604,dense3,mixed_CIFAR,SaSD
32,0.7143918326363179,conv1,mixed_CIFAR,SaSD
32,0.8714813444594273,conv2,mixed_CIFAR,SaSD
32,0.9710851217297939,dense1,mixed_CIFAR,SaSD
32,0.8961481793768848,dense2,mixed_CIFAR,SaSD
32,0.9693039372738621,dense3,mixed_CIFAR,SaSD
33,0.714581962410547,conv1,mixed_CIFAR,SaSD
33,0.8708486762988055,conv2,mixed_CIFAR,SaSD
33,0.9710141789382274,dense1,mixed_CIFAR,SaSD
33,0.893661205416885,dense2,mixed_CIFAR,SaSD
33,0.9725785008771546,dense3,mixed_CIFAR,SaSD
34,0.7007658650581445,conv1,mixed_CIFAR,SaSD
34,0.8715053718465042,conv2,mixed_CIFAR,SaSD
34,0.9710837214144771,dense1,mixed_CIFAR,SaSD
34,0.8945959645716713,dense2,mixed_CIFAR,SaSD
34,0.9813900255808556,dense3,mixed_CIFAR,SaSD
35,0.7090477864042348,conv1,mixed_CIFAR,SaSD
35,0.8704315635521027,conv2,mixed_CIFAR,SaSD
35,0.9709798665905836,dense1,mixed_CIFAR,SaSD
35,0.896594660482892,dense2,mixed_CIFAR,SaSD
35,0.9717049591994966,dense3,mixed_CIFAR,SaSD
36,0.7094595567052272,conv1,mixed_CIFAR,SaSD
36,0.8694207104092464,conv2,mixed_CIFAR,SaSD
36,0.971121504353379,dense1,mixed_CIFAR,SaSD
36,0.8947039939853245,dense2,mixed_CIFAR,SaSD
36,0.9711646652763024,dense3,mixed_CIFAR,SaSD
37,0.7082070944003751,conv1,mixed_CIFAR,SaSD
37,0.870878192174413,conv2,mixed_CIFAR,SaSD
37,0.9709569114096402,dense1,mixed_CIFAR,SaSD
37,0.89551942031205,dense2,mixed_CIFAR,SaSD
37,0.9954913880445796,dense3,mixed_CIFAR,SaSD
38,0.7143294703152241,conv1,mixed_CIFAR,SaSD
38,0.8694550075950558,conv2,mixed_CIFAR,SaSD
38,0.9710627740903244,dense1,mixed_CIFAR,SaSD
38,0.8957639630086609,dense2,mixed_CIFAR,SaSD
38,0.9713236802965539,dense3,mixed_CIFAR,SaSD
39,0.7166567253454106,conv1,mixed_CIFAR,SaSD
39,0.8711025767066836,conv2,mixed_CIFAR,SaSD
39,0.9710891575574683,dense1,mixed_CIFAR,SaSD
39,0.8938566421299525,dense2,mixed_CIFAR,SaSD
39,0.970145477329688,dense3,mixed_CIFAR,SaSD
40,0.7080289506191693,conv1,mixed_CIFAR,SaSD
40,0.8707005173516645,conv2,mixed_CIFAR,SaSD
40,0.9711701476066883,dense1,mixed_CIFAR,SaSD
40,0.8953256040174791,dense2,mixed_CIFAR,SaSD
40,0.9655385556239515,dense3,mixed_CIFAR,SaSD
41,0.717864516508818,conv1,mixed_CIFAR,SaSD
41,0.8708503780487871,conv2,mixed_CIFAR,SaSD
41,0.9711799448528583,dense1,mixed_CIFAR,SaSD
41,0.8948287707474263,dense2,mixed_CIFAR,SaSD
41,0.9800916207444075,dense3,mixed_CIFAR,SaSD
42,0.712846462157124,conv1,mixed_CIFAR,SaSD
42,0.8719029562371079,conv2,mixed_CIFAR,SaSD
42,0.9712184838701577,dense1,mixed_CIFAR,SaSD
42,0.8968496337825471,dense2,mixed_CIFAR,SaSD
42,0.9808286502688764,dense3,mixed_CIFAR,SaSD
43,0.700156127130416,conv1,mixed_CIFAR,SaSD
43,0.8713421131631667,conv2,mixed_CIFAR,SaSD
43,0.9712439501015674,dense1,mixed_CIFAR,SaSD
43,0.8950177705617051,dense2,mixed_CIFAR,SaSD
43,0.9834080035847265,dense3,mixed_CIFAR,SaSD
44,0.7024586171536152,conv1,mixed_CIFAR,SaSD
44,0.8717282800004387,conv2,mixed_CIFAR,SaSD
44,0.971248785583394,dense1,mixed_CIFAR,SaSD
44,0.8956661915456164,dense2,mixed_CIFAR,SaSD
44,0.9922978177150192,dense3,mixed_CIFAR,SaSD
45,0.7155946471318715,conv1,mixed_CIFAR,SaSD
45,0.8704073371169534,conv2,mixed_CIFAR,SaSD
45,0.9712908012564723,dense1,mixed_CIFAR,SaSD
45,0.894260722306693,dense2,mixed_CIFAR,SaSD
45,0.9839857168003622,dense3,mixed_CIFAR,SaSD
46,0.7130240537959128,conv1,mixed_CIFAR,SaSD
46,0.8708148202225352,conv2,mixed_CIFAR,SaSD
46,0.971240945075083,dense1,mixed_CIFAR,SaSD
46,0.8952218677733128,dense2,mixed_CIFAR,SaSD
46,0.98178431372549,dense3,mixed_CIFAR,SaSD
47,0.7157217616431771,conv1,mixed_CIFAR,SaSD
47,0.8696647875431749,conv2,mixed_CIFAR,SaSD
47,0.9713126866933008,dense1,mixed_CIFAR,SaSD
47,0.8944884036825638,dense2,mixed_CIFAR,SaSD
47,0.9803413961022656,dense3,mixed_CIFAR,SaSD
48,0.7039358742151167,conv1,mixed_CIFAR,SaSD
48,0.8702619710453334,conv2,mixed_CIFAR,SaSD
48,0.9710289397350625,dense1,mixed_CIFAR,SaSD
48,0.8958505815995597,dense2,mixed_CIFAR,SaSD
48,0.9828212660821357,dense3,mixed_CIFAR,SaSD
49,0.7200175874929164,conv1,mixed_CIFAR,SaSD
49,0.8721278178157176,conv2,mixed_CIFAR,SaSD
49,0.9711454913007015,dense1,mixed_CIFAR,SaSD
49,0.8963789164374356,dense2,mixed_CIFAR,SaSD
49,0.9838731928043261,dense3,mixed_CIFAR,SaSD
50,0.6983798374774091,conv1,mixed_CIFAR,SaSD
50,0.871076169507618,conv2,mixed_CIFAR,SaSD
50,0.9711812440958192,dense1,mixed_CIFAR,SaSD
50,0.8963799577918995,dense2,mixed_CIFAR,SaSD
50,0.9676740737798969,dense3,mixed_CIFAR,SaSD
51,0.7062396549528902,conv1,mixed_CIFAR,SaSD
51,0.8699229261898196,conv2,mixed_CIFAR,SaSD
51,0.9709690624895884,dense1,mixed_CIFAR,SaSD
51,0.8933573193440308,dense2,mixed_CIFAR,SaSD
51,0.9735813734695279,dense3,mixed_CIFAR,SaSD
52,0.7105833209403256,conv1,mixed_CIFAR,SaSD
52,0.8716707385272146,conv2,mixed_CIFAR,SaSD
52,0.9709303150787165,dense1,mixed_CIFAR,SaSD
52,0.8959332198579157,dense2,mixed_CIFAR,SaSD
52,0.9725071028262517,dense3,mixed_CIFAR,SaSD
53,0.697591442435918,conv1,mixed_CIFAR,SaSD
53,0.8704670415357787,conv2,mixed_CIFAR,SaSD
53,0.9709376329164143,dense1,mixed_CIFAR,SaSD
53,0.8956031764584773,dense2,mixed_CIFAR,SaSD
53,0.978697647381858,dense3,mixed_CIFAR,SaSD
54,0.6939423194248562,conv1,mixed_CIFAR,SaSD
54,0.8697146075145309,conv2,mixed_CIFAR,SaSD
54,0.9711032935525267,dense1,mixed_CIFAR,SaSD
54,0.8950633879153211,dense2,mixed_CIFAR,SaSD
54,0.9934360410830999,dense3,mixed_CIFAR,SaSD
55,0.6951148358891925,conv1,mixed_CIFAR,SaSD
55,0.8716364310940481,conv2,mixed_CIFAR,SaSD
55,0.9709955857878523,dense1,mixed_CIFAR,SaSD
55,0.8945901228062196,dense2,mixed_CIFAR,SaSD
55,0.9757238170455691,dense3,mixed_CIFAR,SaSD
56,0.7196029746665873,conv1,mixed_CIFAR,SaSD
56,0.8700129443424796,conv2,mixed_CIFAR,SaSD
56,0.9709987542635572,dense1,mixed_CIFAR,SaSD
56,0.8936496686178245,dense2,mixed_CIFAR,SaSD
56,0.9696999146084753,dense3,mixed_CIFAR,SaSD
57,0.7010520984326132,conv1,mixed_CIFAR,SaSD
57,0.8713989799709272,conv2,mixed_CIFAR,SaSD
57,0.970889732169393,dense1,mixed_CIFAR,SaSD
57,0.8960804233357881,dense2,mixed_CIFAR,SaSD
57,0.9827434926651053,dense3,mixed_CIFAR,SaSD
58,0.7119666030402776,conv1,mixed_CIFAR,SaSD
58,0.869522428114198,conv2,mixed_CIFAR,SaSD
58,0.9711291008238068,dense1,mixed_CIFAR,SaSD
58,0.8965376189257762,dense2,mixed_CIFAR,SaSD
58,0.9777509111298011,dense3,mixed_CIFAR,SaSD
59,0.7078989272681223,conv1,mixed_CIFAR,SaSD
59,0.8710400935104539,conv2,mixed_CIFAR,SaSD
59,0.9709663624308942,dense1,mixed_CIFAR,SaSD
59,0.8961581379470958,dense2,mixed_CIFAR,SaSD
59,0.9666445809092868,dense3,mixed_CIFAR,SaSD
60,0.7221146105222391,conv1,mixed_CIFAR,SaSD
60,0.8699904324874423,conv2,mixed_CIFAR,SaSD
60,0.9710283539606053,dense1,mixed_CIFAR,SaSD
60,0.8962198762498086,dense2,mixed_CIFAR,SaSD
60,0.980021663558279,dense3,mixed_CIFAR,SaSD
61,0.5826909751620714,conv1,WTs_CIFAR,NNSTD
61,0.7692868292728858,conv2,WTs_CIFAR,NNSTD
61,0.9449319586036233,dense1,WTs_CIFAR,NNSTD
61,0.8464906620923209,dense2,WTs_CIFAR,NNSTD
61,0.9650680159223836,dense3,WTs_CIFAR,NNSTD
62,0.5739691838599782,conv1,WTs_CIFAR,NNSTD
62,0.7708085905682565,conv2,WTs_CIFAR,NNSTD
62,0.9456827549075493,dense1,WTs_CIFAR,NNSTD
62,0.8470869182764682,dense2,WTs_CIFAR,NNSTD
62,0.9586748016052177,dense3,WTs_CIFAR,NNSTD
63,0.5872554431480757,conv1,WTs_CIFAR,NNSTD
63,0.7689834499213459,conv2,WTs_CIFAR,NNSTD
63,0.94541794462471,dense1,WTs_CIFAR,NNSTD
63,0.8464432474433734,dense2,WTs_CIFAR,NNSTD
63,0.9516174596383703,dense3,WTs_CIFAR,NNSTD
64,0.5684666385493591,conv1,WTs_CIFAR,NNSTD
64,0.7695313878282437,conv2,WTs_CIFAR,NNSTD
64,0.9454416456840907,dense1,WTs_CIFAR,NNSTD
64,0.8469366150767507,dense2,WTs_CIFAR,NNSTD
64,0.931075488668818,dense3,WTs_CIFAR,NNSTD
65,0.5669060833468003,conv1,WTs_CIFAR,NNSTD
65,0.7688156229931821,conv2,WTs_CIFAR,NNSTD
65,0.9454854266121422,dense1,WTs_CIFAR,NNSTD
65,0.8501357167337209,dense2,WTs_CIFAR,NNSTD
65,0.9402917576155547,dense3,WTs_CIFAR,NNSTD
66,0.5808443229054443,conv1,WTs_CIFAR,NNSTD
66,0.7719941699463644,conv2,WTs_CIFAR,NNSTD
66,0.9457268241925592,dense1,WTs_CIFAR,NNSTD
66,0.8474396916235291,dense2,WTs_CIFAR,NNSTD
66,0.949487315110001,dense3,WTs_CIFAR,NNSTD
67,0.5630244028336859,conv1,WTs_CIFAR,NNSTD
67,0.7679376414015002,conv2,WTs_CIFAR,NNSTD
67,0.945510820601323,dense1,WTs_CIFAR,NNSTD
67,0.8471742913595233,dense2,WTs_CIFAR,NNSTD
67,0.9584537086826534,dense3,WTs_CIFAR,NNSTD
68,0.5693193360781161,conv1,WTs_CIFAR,NNSTD
68,0.7684044337425875,conv2,WTs_CIFAR,NNSTD
68,0.9456071395563784,dense1,WTs_CIFAR,NNSTD
68,0.846326720882,dense2,WTs_CIFAR,NNSTD
68,0.9569247759489701,dense3,WTs_CIFAR,NNSTD
69,0.5778549519715106,conv1,WTs_CIFAR,NNSTD
69,0.7718691716865937,conv2,WTs_CIFAR,NNSTD
69,0.9451003130550553,dense1,WTs_CIFAR,NNSTD
69,0.8449691987477012,dense2,WTs_CIFAR,NNSTD
69,0.9420405092936559,dense3,WTs_CIFAR,NNSTD
70,0.5781092235481022,conv1,WTs_CIFAR,NNSTD
70,0.770306779701329,conv2,WTs_CIFAR,NNSTD
70,0.9454298956073849,dense1,WTs_CIFAR,NNSTD
70,0.8477702615506376,dense2,WTs_CIFAR,NNSTD
70,0.9342112082329475,dense3,WTs_CIFAR,NNSTD
71,0.5762575263627412,conv1,WTs_CIFAR,NNSTD
71,0.7698504991206089,conv2,WTs_CIFAR,NNSTD
71,0.9456768018072073,dense1,WTs_CIFAR,NNSTD
71,0.8461013689982597,dense2,WTs_CIFAR,NNSTD
71,0.9365685427111641,dense3,WTs_CIFAR,NNSTD
72,0.5795383415201284,conv1,WTs_CIFAR,NNSTD
72,0.7710837680034116,conv2,WTs_CIFAR,NNSTD
72,0.9451195145518245,dense1,WTs_CIFAR,NNSTD
72,0.8468866760292044,dense2,WTs_CIFAR,NNSTD
72,0.9617276282513052,dense3,WTs_CIFAR,NNSTD
73,0.5705479337886701,conv1,WTs_CIFAR,NNSTD
73,0.7689594477696622,conv2,WTs_CIFAR,NNSTD
73,0.9451338213425949,dense1,WTs_CIFAR,NNSTD
73,0.848002406211028,dense2,WTs_CIFAR,NNSTD
73,0.9497779943378613,dense3,WTs_CIFAR,NNSTD
74,0.575220142948834,conv1,WTs_CIFAR,NNSTD
74,0.769432590476934,conv2,WTs_CIFAR,NNSTD
74,0.9455322166309639,dense1,WTs_CIFAR,NNSTD
74,0.8467052618243999,dense2,WTs_CIFAR,NNSTD
74,0.9636508222236693,dense3,WTs_CIFAR,NNSTD
75,0.5732493277759823,conv1,WTs_CIFAR,NNSTD
75,0.7669666721762654,conv2,WTs_CIFAR,NNSTD
75,0.9452433401800342,dense1,WTs_CIFAR,NNSTD
75,0.8498158328199861,dense2,WTs_CIFAR,NNSTD
75,0.9424430121381157,dense3,WTs_CIFAR,NNSTD
76,0.5664037644851063,conv1,WTs_CIFAR,NNSTD
76,0.7711863601452451,conv2,WTs_CIFAR,NNSTD
76,0.9452862162370275,dense1,WTs_CIFAR,NNSTD
76,0.8478992199800391,dense2,WTs_CIFAR,NNSTD
76,0.9527761931594684,dense3,WTs_CIFAR,NNSTD
77,0.5753155162851854,conv1,WTs_CIFAR,NNSTD
77,0.7711374763096697,conv2,WTs_CIFAR,NNSTD
77,0.945605221670608,dense1,WTs_CIFAR,NNSTD
77,0.8475296828316481,dense2,WTs_CIFAR,NNSTD
77,0.9565982357151042,dense3,WTs_CIFAR,NNSTD
78,0.5822233883355206,conv1,WTs_CIFAR,NNSTD
78,0.7696623888536869,conv2,WTs_CIFAR,NNSTD
78,0.9455662460569847,dense1,WTs_CIFAR,NNSTD
78,0.8485452145351237,dense2,WTs_CIFAR,NNSTD
78,0.9454122099779646,dense3,WTs_CIFAR,NNSTD
79,0.5772992764593723,conv1,WTs_CIFAR,NNSTD
79,0.7705289098059349,conv2,WTs_CIFAR,NNSTD
79,0.9456352669152653,dense1,WTs_CIFAR,NNSTD
79,0.8477986456306362,dense2,WTs_CIFAR,NNSTD
79,0.9457908158084036,dense3,WTs_CIFAR,NNSTD
80,0.5532925775742146,conv1,WTs_CIFAR,NNSTD
80,0.7694900006703789,conv2,WTs_CIFAR,NNSTD
80,0.9453047154776013,dense1,WTs_CIFAR,NNSTD
80,0.8478859713106617,dense2,WTs_CIFAR,NNSTD
80,0.9591330103915917,dense3,WTs_CIFAR,NNSTD
81,0.5687974800397401,conv1,WTs_CIFAR,NNSTD
81,0.77012722373872,conv2,WTs_CIFAR,NNSTD
81,0.9455045911888558,dense1,WTs_CIFAR,NNSTD
81,0.8482589001581486,dense2,WTs_CIFAR,NNSTD
81,0.9328884999779781,dense3,WTs_CIFAR,NNSTD
82,0.5896352396582176,conv1,WTs_CIFAR,NNSTD
82,0.7685888675671024,conv2,WTs_CIFAR,NNSTD
82,0.9450214715745091,dense1,WTs_CIFAR,NNSTD
82,0.8489276173254229,dense2,WTs_CIFAR,NNSTD
82,0.9476716347734117,dense3,WTs_CIFAR,NNSTD
83,0.5722009051615524,conv1,WTs_CIFAR,NNSTD
83,0.7705096462060615,conv2,WTs_CIFAR,NNSTD
83,0.9453247328070442,dense1,WTs_CIFAR,NNSTD
83,0.8485025298816437,dense2,WTs_CIFAR,NNSTD
83,0.9653271015076754,dense3,WTs_CIFAR,NNSTD
84,0.5760832167354275,conv1,WTs_CIFAR,NNSTD
84,0.7681259677639,conv2,WTs_CIFAR,NNSTD
84,0.9457078289298287,dense1,WTs_CIFAR,NNSTD
84,0.8468775141785372,dense2,WTs_CIFAR,NNSTD
84,0.9499598322980605,dense3,WTs_CIFAR,NNSTD
85,0.5744583630727933,conv1,WTs_CIFAR,NNSTD
85,0.7686482663129288,conv2,WTs_CIFAR,NNSTD
85,0.9451100389577158,dense1,WTs_CIFAR,NNSTD
85,0.8487714630216958,dense2,WTs_CIFAR,NNSTD
85,0.9396341616016665,dense3,WTs_CIFAR,NNSTD
86,0.5701751327313682,conv1,WTs_CIFAR,NNSTD
86,0.7700420916017889,conv2,WTs_CIFAR,NNSTD
86,0.9457723690196125,dense1,WTs_CIFAR,NNSTD
86,0.8471262478668982,dense2,WTs_CIFAR,NNSTD
86,0.9605296046759463,dense3,WTs_CIFAR,NNSTD
87,0.5846597183453801,conv1,WTs_CIFAR,NNSTD
87,0.7702731287204923,conv2,WTs_CIFAR,NNSTD
87,0.9454571308493103,dense1,WTs_CIFAR,NNSTD
87,0.8484512587275459,dense2,WTs_CIFAR,NNSTD
87,0.9423391909348513,dense3,WTs_CIFAR,NNSTD
