ID,Distance,Layer,Type,Method
25,0.8652790681553169,conv2,WT,SaSD
25,0.9698645534849065,dense1,WT,SaSD
25,0.8919701622105655,dense2,WT,SaSD
25,0.9709021627298938,dense3,WT,SaSD
26,0.6667400751687468,conv1,WT,SaSD
26,0.8636612156739923,conv2,WT,SaSD
26,0.9700606787631207,dense1,WT,SaSD
26,0.8936525156981927,dense2,WT,SaSD
26,0.9753979070574814,dense3,WT,SaSD
27,0.6789492865719162,conv1,WT,SaSD
27,0.86271571740787,conv2,WT,SaSD
27,0.9698338544885057,dense1,WT,SaSD
27,0.8917353584830775,dense2,WT,SaSD
27,0.965720594365003,dense3,WT,SaSD
28,0.6760638845427449,conv1,WT,SaSD
28,0.8618802666916185,conv2,WT,SaSD
28,0.9697771389684801,dense1,WT,SaSD
28,0.89126126355159,dense2,WT,SaSD
28,0.9687336561750021,dense3,WT,SaSD
29,0.6877832862092972,conv1,WT,SaSD
29,0.8678495803674695,conv2,WT,SaSD
29,0.9700791432644065,dense1,WT,SaSD
29,0.8915726862235822,dense2,WT,SaSD
29,0.9584427842169779,dense3,WT,SaSD
30,0.6670842794668921,conv1,WT,SaSD
30,0.865091426276617,conv2,WT,SaSD
30,0.9699441937718779,dense1,WT,SaSD
30,0.8916426894667653,dense2,WT,SaSD
30,0.9856515224896834,dense3,WT,SaSD
31,0.7066563185588921,conv1,random,SaSD
31,0.8710406645115897,conv2,random,SaSD
31,0.96962199919729,dense1,random,SaSD
31,0.8940252195084977,dense2,random,SaSD
31,0.9811957443468028,dense3,random,SaSD
32,0.7069357802124345,conv1,random,SaSD
32,0.8717093940348333,conv2,random,SaSD
32,0.9696658056762868,dense1,random,SaSD
32,0.8959438650127187,dense2,random,SaSD
32,0.9770863521883243,dense3,random,SaSD
33,0.7061557340739326,conv1,random,SaSD
33,0.8710230067599183,conv2,random,SaSD
33,0.9696445802737947,dense1,random,SaSD
33,0.893332063360208,dense2,random,SaSD
33,0.9740242883142975,dense3,random,SaSD
34,0.705738135689882,conv1,random,SaSD
34,0.8704148352926717,conv2,random,SaSD
34,0.9695709705643776,dense1,random,SaSD
34,0.8926062358770532,dense2,random,SaSD
34,0.9811907516308362,dense3,random,SaSD
35,0.7041278224672429,conv1,random,SaSD
35,0.8713986636739968,conv2,random,SaSD
35,0.9697121264838762,dense1,random,SaSD
35,0.8948389709271154,dense2,random,SaSD
35,0.9885446848829389,dense3,random,SaSD
36,0.7208051560877847,conv1,random,SaSD
36,0.8705201871265068,conv2,random,SaSD
36,0.9696518209631257,dense1,random,SaSD
36,0.8924265734959056,dense2,random,SaSD
36,0.9629650836202286,dense3,random,SaSD
37,0.7132254642824496,conv1,random,SaSD
37,0.8697273954085702,conv2,random,SaSD
37,0.9697056915659455,dense1,random,SaSD
37,0.8942504796648746,dense2,random,SaSD
37,0.975990972851438,dense3,random,SaSD
38,0.7107342935353046,conv1,random,SaSD
38,0.8716349676879339,conv2,random,SaSD
