ID,Distance,Layer,Type,Method
13,0.8919142882215665,dense2,WT,SaSD
13,0.9632371764384782,dense3,WT,SaSD
14,0.6360354971852408,conv1,WT,SaSD
14,0.8434261498159585,conv2,WT,SaSD
14,0.9700564372284801,dense1,WT,SaSD
14,0.8917603417641481,dense2,WT,SaSD
14,0.9498821942724381,dense3,WT,SaSD
15,0.6041301720644552,conv1,WT,SaSD
15,0.8417587969472249,conv2,WT,SaSD
15,0.9700508029442112,dense1,WT,SaSD
15,0.8921689525130697,dense2,WT,SaSD
15,0.9693221262893912,dense3,WT,SaSD
16,0.6246651607175504,conv1,WT,SaSD
16,0.8461997747625813,conv2,WT,SaSD
16,0.9702948161428375,dense1,WT,SaSD
16,0.8912081567659416,dense2,WT,SaSD
16,0.9883037952022914,dense3,WT,SaSD
17,0.6256409389221889,conv1,WT,SaSD
17,0.8422289637972717,conv2,WT,SaSD
17,0.97012819903347,dense1,WT,SaSD
17,0.8919455644728007,dense2,WT,SaSD
17,0.9741797405307434,dense3,WT,SaSD
18,0.6049249093941189,conv1,WT,SaSD
18,0.8424688668224172,conv2,WT,SaSD
18,0.9702360773195551,dense1,WT,SaSD
18,0.8926784528901704,dense2,WT,SaSD
18,0.9739662676504782,dense3,WT,SaSD
19,0.6254240971956965,conv1,WT,SaSD
19,0.84339323611742,conv2,WT,SaSD
19,0.9705166956934295,dense1,WT,SaSD
19,0.8923342508729387,dense2,WT,SaSD
19,0.9693792475119152,dense3,WT,SaSD
20,0.6159045904565206,conv1,WT,SaSD
20,0.8417741590673882,conv2,WT,SaSD
20,0.9699582148918322,dense1,WT,SaSD
20,0.8943048758954829,dense2,WT,SaSD
20,0.9732511186292697,dense3,WT,SaSD
21,0.6158076987350884,conv1,WT,SaSD
21,0.8488812139750458,conv2,WT,SaSD
21,0.97030300177428,dense1,WT,SaSD
21,0.8945837820052498,dense2,WT,SaSD
21,0.981531279178338,dense3,WT,SaSD
22,0.6155913844363196,conv1,WT,SaSD
22,0.8451227372975588,conv2,WT,SaSD
22,0.970346106789711,dense1,WT,SaSD
22,0.8939208528904996,dense2,WT,SaSD
22,0.9706456850028944,dense3,WT,SaSD
23,0.6230583647089065,conv1,WT,SaSD
23,0.8464827266708977,conv2,WT,SaSD
23,0.9704077836555963,dense1,WT,SaSD
23,0.8929908623550803,dense2,WT,SaSD
23,0.9584079596116254,dense3,WT,SaSD
24,0.6269675445571585,conv1,WT,SaSD
24,0.8432330583226255,conv2,WT,SaSD
24,0.9698412688267236,dense1,WT,SaSD
24,0.8942028990257573,dense2,WT,SaSD
24,0.9445152520161446,dense3,WT,SaSD
25,0.5949730762309371,conv1,WT,SaSD
25,0.8432341712060882,conv2,WT,SaSD
25,0.9702061973858509,dense1,WT,SaSD
25,0.8918506712743917,dense2,WT,SaSD
25,0.9762226484796817,dense3,WT,SaSD
26,0.5784751328070794,conv1,WT,SaSD
26,0.8446090563140408,conv2,WT,SaSD
26,0.970217623443933,dense1,WT,SaSD
26,0.8937147549116965,dense2,WT,SaSD
26,0.9761338800841303,dense3,WT,SaSD
27,0.6516560921099669,conv1,WT,SaSD
27,0.84796801548005,conv2,WT,SaSD
27,0.9701349205386415,dense1,WT,SaSD
27,0.8920654754730277,dense2,WT,SaSD
27,0.9797114387114387,dense3,WT,SaSD
28,0.6005175673489093,conv1,WT,SaSD
28,0.8474460202511349,conv2,WT,SaSD
28,0.9703013702645349,dense1,WT,SaSD
28,0.892454688926994,dense2,WT,SaSD
28,0.9706469525262431,dense3,WT,SaSD
29,0.6241875477973824,conv1,WT,SaSD
29,0.8482927457080169,conv2,WT,SaSD
29,0.9702707433797875,dense1,WT,SaSD
29,0.8934099314290549,dense2,WT,SaSD
29,0.9731166056166056,dense3,WT,SaSD
30,0.6070796633411524,conv1,WT,SaSD
30,0.843414593010261,conv2,WT,SaSD
30,0.9700961052229194,dense1,WT,SaSD
30,0.8931110452289631,dense2,WT,SaSD
30,0.9652447655865606,dense3,WT,SaSD
31,0.7066563185588921,conv1,random,SaSD
31,0.8710406645115897,conv2,random,SaSD
31,0.96962199919729,dense1,random,SaSD
31,0.8940252195084977,dense2,random,SaSD
31,0.9811957443468028,dense3,random,SaSD
32,0.7069357802124345,conv1,random,SaSD
32,0.8717093940348333,conv2,random,SaSD
32,0.9696658056762868,dense1,random,SaSD
32,0.8959438650127187,dense2,random,SaSD
32,0.9770863521883243,dense3,random,SaSD
33,0.7061557340739326,conv1,random,SaSD
33,0.8710230067599183,conv2,random,SaSD
33,0.9696445802737947,dense1,random,SaSD
33,0.893332063360208,dense2,random,SaSD
33,0.9740242883142975,dense3,random,SaSD
34,0.705738135689882,conv1,random,SaSD
34,0.8704148352926717,conv2,random,SaSD
34,0.9695709705643776,dense1,random,SaSD
34,0.8926062358770532,dense2,random,SaSD
34,0.9811907516308362,dense3,random,SaSD
35,0.7041278224672429,conv1,random,SaSD
35,0.8713986636739968,conv2,random,SaSD
35,0.9697121264838762,dense1,random,SaSD
35,0.8948389709271154,dense2,random,SaSD
35,0.9885446848829389,dense3,random,SaSD
36,0.7208051560877847,conv1,random,SaSD
36,0.8705201871265068,conv2,random,SaSD
36,0.9696518209631257,dense1,random,SaSD
36,0.8924265734959056,dense2,random,SaSD
36,0.9629650836202286,dense3,random,SaSD
37,0.7132254642824496,conv1,random,SaSD
37,0.8697273954085702,conv2,random,SaSD
37,0.9697056915659455,dense1,random,SaSD
37,0.8942504796648746,dense2,random,SaSD
37,0.975990972851438,dense3,random,SaSD
38,0.7107342935353046,conv1,random,SaSD
38,0.8716349676879339,conv2,random,SaSD
38,0.9696705663503284,dense1,random,SaSD
38,0.8964432502934626,dense2,random,SaSD
38,0.9904101995565409,dense3,random,SaSD
39,0.712183917894541,conv1,random,SaSD
39,0.8717572902341175,conv2,random,SaSD
39,0.9696104195099564,dense1,random,SaSD
39,0.8941238957346823,dense2,random,SaSD
39,0.9647305207579564,dense3,random,SaSD
40,0.7049186936939694,conv1,random,SaSD
40,0.8697518750958193,conv2,random,SaSD
40,0.9697089804596284,dense1,random,SaSD
40,0.8940624976304994,dense2,random,SaSD
40,0.9760375627370959,dense3,random,SaSD
41,0.7003389188936064,conv1,random,SaSD
41,0.870831623585453,conv2,random,SaSD
41,0.969498964297735,dense1,random,SaSD
41,0.8946469740769237,dense2,random,SaSD
41,0.9758840623991558,dense3,random,SaSD
42,0.7038527342755283,conv1,random,SaSD
42,0.8718474903146209,conv2,random,SaSD
42,0.9696581410124131,dense1,random,SaSD
42,0.893876452612542,dense2,random,SaSD
42,0.9794332620948841,dense3,random,SaSD
43,0.7046109034396331,conv1,random,SaSD
43,0.8716383588208196,conv2,random,SaSD
43,0.9695826044643872,dense1,random,SaSD
43,0.8933459210857255,dense2,random,SaSD
43,0.9763545464758809,dense3,random,SaSD
44,0.7192927209126658,conv1,random,SaSD
44,0.8713402695714247,conv2,random,SaSD
44,0.9696449531357099,dense1,random,SaSD
44,0.8935555252832218,dense2,random,SaSD
44,0.9853723851118282,dense3,random,SaSD
45,0.7004024991042455,conv1,random,SaSD
45,0.8709296365677819,conv2,random,SaSD
45,0.969619245696692,dense1,random,SaSD
45,0.8944318790041201,dense2,random,SaSD
45,0.9869984779673947,dense3,random,SaSD
46,0.714895864195037,conv1,random,SaSD
46,0.8699123732242748,conv2,random,SaSD
46,0.9696329958079961,dense1,random,SaSD
46,0.8939052437747603,dense2,random,SaSD
46,0.9792629330725833,dense3,random,SaSD
47,0.6927796322587586,conv1,random,SaSD
47,0.871590067301685,conv2,random,SaSD
47,0.9696900377739469,dense1,random,SaSD
47,0.8938297138257887,dense2,random,SaSD
47,0.9571883753501401,dense3,random,SaSD
48,0.7118854476330773,conv1,random,SaSD
48,0.8706598527902214,conv2,random,SaSD
48,0.9694948552963971,dense1,random,SaSD
48,0.8934844715692296,dense2,random,SaSD
48,0.9837940013950244,dense3,random,SaSD
49,0.7075993190568461,conv1,random,SaSD
49,0.8699318299038286,conv2,random,SaSD
49,0.9696019488445062,dense1,random,SaSD
49,0.8940717009158159,dense2,random,SaSD
49,0.9822515813342882,dense3,random,SaSD
50,0.7014131709014884,conv1,random,SaSD
50,0.8716392324003457,conv2,random,SaSD
50,0.9696885890823024,dense1,random,SaSD
50,0.8949502172851376,dense2,random,SaSD
50,0.9835760062057716,dense3,random,SaSD
51,0.7047852204501295,conv1,random,SaSD
51,0.8706056093728727,conv2,random,SaSD
51,0.9696540847675021,dense1,random,SaSD
51,0.8945497495185779,dense2,random,SaSD
51,0.9738646939622548,dense3,random,SaSD
52,0.7067246453505645,conv1,random,SaSD
52,0.8704877136428548,conv2,random,SaSD
52,0.969581037221073,dense1,random,SaSD
52,0.8957754108119296,dense2,random,SaSD
52,0.958239692638189,dense3,random,SaSD
53,0.7104945580359183,conv1,random,SaSD
53,0.870802947118286,conv2,random,SaSD
53,0.9696158062441889,dense1,random,SaSD
53,0.8944547340173946,dense2,random,SaSD
53,0.9886861861861862,dense3,random,SaSD
54,0.6942655039507062,conv1,random,SaSD
54,0.8714331965449849,conv2,random,SaSD
54,0.9694457836426036,dense1,random,SaSD
54,0.8938218058910121,dense2,random,SaSD
54,0.9786987677841639,dense3,random,SaSD
55,0.699205412481825,conv1,random,SaSD
55,0.8700908446654922,conv2,random,SaSD
55,0.9695660701009869,dense1,random,SaSD
55,0.8933443129373662,dense2,random,SaSD
55,0.9757510765288699,dense3,random,SaSD
56,0.7067190217816669,conv1,random,SaSD
56,0.8703460027306907,conv2,random,SaSD
56,0.9694641546898912,dense1,random,SaSD
56,0.8956355174002697,dense2,random,SaSD
56,0.9771129960252024,dense3,random,SaSD
57,0.7116621187737915,conv1,random,SaSD
57,0.8700947195850919,conv2,random,SaSD
57,0.969581410322611,dense1,random,SaSD
57,0.8943012587472592,dense2,random,SaSD
57,0.9796098901098901,dense3,random,SaSD
58,0.7077774277343744,conv1,random,SaSD
58,0.8711508437672101,conv2,random,SaSD
58,0.9696236575412573,dense1,random,SaSD
58,0.8940309200184082,dense2,random,SaSD
58,0.9788915541822518,dense3,random,SaSD
59,0.7112942285397781,conv1,random,SaSD
59,0.8716063100987714,conv2,random,SaSD
59,0.9695409884647191,dense1,random,SaSD
59,0.894897047199003,dense2,random,SaSD
59,0.9860953177257524,dense3,random,SaSD
60,0.6968047215646626,conv1,random,SaSD
60,0.8708634075984161,conv2,random,SaSD
60,0.9696562545565648,dense1,random,SaSD
60,0.8945452644507064,dense2,random,SaSD
60,0.9809183463595229,dense3,random,SaSD
61,0.7155388983973543,conv1,mixed,SaSD
61,0.8707037718342927,conv2,mixed,SaSD
61,0.9705884921961974,dense1,mixed,SaSD
61,0.8953528402423745,dense2,mixed,SaSD
61,0.978834329935742,dense3,mixed,SaSD
62,0.7156830000682797,conv1,mixed,SaSD
62,0.8734758709116712,conv2,mixed,SaSD
62,0.9707017343485742,dense1,mixed,SaSD
62,0.8937662673998392,dense2,mixed,SaSD
62,0.9810634434318646,dense3,mixed,SaSD
63,0.7371139073344956,conv1,mixed,SaSD
63,0.8722133240146198,conv2,mixed,SaSD
63,0.9706331016065806,dense1,mixed,SaSD
63,0.8969314522836831,dense2,mixed,SaSD
63,0.975715737514518,dense3,mixed,SaSD
64,0.7249307340674891,conv1,mixed,SaSD
64,0.8721768943706717,conv2,mixed,SaSD
64,0.970578991749715,dense1,mixed,SaSD
64,0.8943436285651516,dense2,mixed,SaSD
64,0.9856041915464729,dense3,mixed,SaSD
65,0.7205344300817647,conv1,mixed,SaSD
65,0.87276539779787,conv2,mixed,SaSD
65,0.9706435943984064,dense1,mixed,SaSD
65,0.89575265912349,dense2,mixed,SaSD
65,0.9710332559927096,dense3,mixed,SaSD
66,0.7109586802033107,conv1,mixed,SaSD
66,0.8731352681258817,conv2,mixed,SaSD
66,0.9706248426282267,dense1,mixed,SaSD
66,0.8963215767811683,dense2,mixed,SaSD
66,0.9862384823848238,dense3,mixed,SaSD
67,0.7219711981049781,conv1,mixed,SaSD
67,0.8717322931159137,conv2,mixed,SaSD
67,0.9707350041190438,dense1,mixed,SaSD
67,0.8956974918405917,dense2,mixed,SaSD
67,0.9881131019036953,dense3,mixed,SaSD
68,0.7318990064587976,conv1,mixed,SaSD
68,0.8726293264838141,conv2,mixed,SaSD
68,0.9705774918416081,dense1,mixed,SaSD
68,0.8959161472133046,dense2,mixed,SaSD
68,0.9716643956955829,dense3,mixed,SaSD
69,0.7297870353706751,conv1,mixed,SaSD
69,0.8736950750162165,conv2,mixed,SaSD
69,0.9705830968613993,dense1,mixed,SaSD
69,0.8934402527027356,dense2,mixed,SaSD
69,0.9670467521930937,dense3,mixed,SaSD
70,0.7156110521610957,conv1,mixed,SaSD
70,0.8732922592999492,conv2,mixed,SaSD
70,0.9706683308193,dense1,mixed,SaSD
70,0.8949121060277596,dense2,mixed,SaSD
70,0.9823037224867889,dense3,mixed,SaSD
71,0.7185563346880588,conv1,mixed,SaSD
71,0.8711097667826742,conv2,mixed,SaSD
71,0.9707004406427746,dense1,mixed,SaSD
71,0.8937012436315169,dense2,mixed,SaSD
71,0.9765027236538865,dense3,mixed,SaSD
72,0.719874654244212,conv1,mixed,SaSD
72,0.8706993304745944,conv2,mixed,SaSD
